Frame,mixamorig:LeftHand,mixamorig:RightHand,mixamorig:Head
603,0.7650573,0.6264638,0.6522729
604,0.7457916,0.6380659,0.6595004
605,0.7144986,0.6488586,0.6677362
606,0.6803604,0.6616776,0.6770419
607,0.6812249,0.6970879,0.6819999
608,0.6800094,0.72086,0.6851591
609,0.642872,0.7117203,0.6873171
610,0.6107562,0.7084776,0.6895011
611,0.6111885,0.7091501,0.6915556
612,0.06879676,0.1335057,0.1094768
613,0.07368839,0.1515893,0.09945079
614,0.1076547,0.1709069,0.08813827
615,0.2066891,0.1204335,0.0771086
616,0.2363095,0.07068333,0.0770079
617,0.2087547,0.08978631,0.08873906
618,0.1941113,0.0823316,0.09642136
619,0.1546799,0.0893359,0.09935539
620,0.1392704,0.1066083,0.1036627
621,0.1294179,0.1574373,0.1005879
622,0.1198966,0.2192812,0.09837385
623,0.1626398,0.2628075,0.09211023
624,0.2254984,0.2885251,0.09091575
625,0.2339633,0.2514136,0.08414552
626,0.2212383,0.2183004,0.07624128
627,0.2371161,0.1954086,0.07447745
628,0.2758771,0.1982471,0.07629172
629,0.3031974,0.2209882,0.07851525
630,0.3173173,0.2673478,0.0861529
631,0.2988785,0.2694813,0.08560751
632,0.2764962,0.2653787,0.08370214
633,0.2738095,0.2608097,0.08431835
634,0.2757543,0.2543877,0.07591973
635,0.29093,0.2343147,0.07651977
636,0.3131393,0.216942,0.08078813
637,0.3361917,0.1988789,0.07464147
638,0.3557915,0.1591507,0.06726395
639,0.3716003,0.1305116,0.06556821
640,0.3780821,0.1150061,0.06339208
641,0.3854467,0.1293413,0.05230086
642,0.3830139,0.14365,0.04821019
643,0.3780083,0.1547207,0.0501444
644,0.3472822,0.1905291,0.06728001
645,0.3460461,0.2315419,0.07882793
646,0.3498709,0.2766274,0.08969489
647,0.352601,0.3059196,0.09829104
648,0.356761,0.316357,0.1077862
649,0.3696562,0.2781741,0.1072379
650,0.3563997,0.2143126,0.1062124
651,0.3482847,0.2119604,0.1044701
652,0.3435566,0.2257855,0.1030917
653,0.3408716,0.2255124,0.1086188
654,0.3438197,0.2048941,0.1181211
655,0.3519568,0.17309,0.1289508
656,0.3647476,0.1341194,0.1398225
657,0.3761657,0.1085746,0.1439175
658,0.3596785,0.1089171,0.1441076
659,0.3408875,0.07777216,0.1438787
660,0.3387135,0.03578215,0.1502836
661,0.3456722,0.05094238,0.162287
662,0.3457226,0.1132142,0.1751257
663,0.3392072,0.1439911,0.1768195
664,0.3279951,0.1655712,0.1735297
665,0.3214976,0.2209287,0.1791483
666,0.3050596,0.2664246,0.186077
667,0.2959215,0.3010507,0.1886169
668,0.2894096,0.3202252,0.1888091
669,0.2855107,0.3585954,0.1905137
670,0.2757133,0.3821338,0.1946951
671,0.263055,0.3978854,0.1936083
672,0.245542,0.4161353,0.1930617
673,0.2686472,0.4420861,0.1952256
674,0.3000419,0.4650007,0.1963814
675,0.2896638,0.4672502,0.1944439
676,0.2847473,0.4672966,0.1929509
677,0.2795485,0.4907337,0.1994088
678,0.2628428,0.5219216,0.206693
679,0.2712792,0.5197304,0.2086988
680,0.2842121,0.4981505,0.2105749
681,0.2884695,0.4498065,0.2110102
682,0.2904459,0.3826115,0.2094473
683,0.2609954,0.3408819,0.2100918
684,0.2190142,0.3263927,0.2147378
685,0.1810885,0.3042763,0.2193907
686,0.1543732,0.2793438,0.2186747
687,0.1683636,0.2638285,0.2212029
688,0.1985641,0.2534495,0.2247444
689,0.2061599,0.2513,0.225741
690,0.1962316,0.2458009,0.2247587
691,0.1966189,0.2328359,0.2289912
692,0.201525,0.2303613,0.2349138
693,0.1831945,0.2245952,0.2411743
694,0.1543272,0.228367,0.2440869
695,0.1334713,0.2460755,0.2414504
696,0.1322919,0.2751184,0.2384206
697,0.1463745,0.285952,0.2357724
698,0.1612071,0.2776954,0.2348388
699,0.1669389,0.2804915,0.2395023
